function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:3.6.5.4	1522	781	1749	1301	750	927	989	1020	554	729	1140
EC:3.7.1.4	0	0	8	5	0	9	2	3	2	4	3
EC:4.1.1.4	0	0	0	0	0	0	0	0	0	2	0
EC:4.1.2.4	1581	830	854	703	315	684	710	561	301	260	619
EC:4.1.3.4	51	33	4	10	0	5	27	74	2	4	1
EC:4.2.3.4	1144	684	953	861	333	513	652	590	375	505	642
EC:4.3.1.4	0	1	6	1	1	1	1	3	1	0	0
EC:4.3.99.4	116	40	20	14	0	0	9	18	7	16	29
EC:4.99.1.4	9	6	0	0	1	0	5	1	0	2	0
EC:5.1.1.4	1	0	0	3	0	1	2	14	1	0	2
EC:5.1.3.4	1397	709	920	1027	428	481	554	468	430	682	547
EC:5.1.99.4	0	0	0	0	0	1	0	0	0	0	0
EC:5.3.1.4	995	711	639	666	363	351	1237	962	412	565	561
EC:5.5.1.4	99	137	398	364	2	158	4	8	101	230	272
EC:6.1.1.4	1798	1086	1896	1448	1029	1340	1771	1618	937	1179	1330
EC:6.3.2.4	1328	742	1152	1050	800	707	790	719	550	821	873
EC:6.3.4.4	2221	1125	2279	1666	939	1087	1527	1386	792	996	1367
EC:6.3.5.4	1358	945	1455	1054	596	997	939	790	761	896	954
EC:6.4.1.4	0	1	0	0	2	1	3	1	0	4	2
EC:6.5.1.4	6	1	0	1	2	0	2	1	0	0	0
EC:7.2.2.4	3	44	3	44	14	7	13	5	51	3	44
EC:7.5.2.4	85	96	61	137	53	76	197	265	109	93	130
EC:1.1.5.5	0	1	0	0	0	0	0	0	0	0	0
EC:1.2.7.5	176	73	342	84	179	268	65	156	86	11	200
EC:1.3.98.5	0	3	6	0	1	0	0	0	6	0	0
EC:1.4.3.5	21	49	18	17	5	82	7	32	5	2	90
EC:1.6.5.5	114	40	7	4	5	9	19	9	16	37	9
EC:1.7.2.5	2	6	21	4	0	0	0	0	2	0	1
EC:1.8.3.5	0	1	0	0	0	0	0	0	0	0	0
EC:1.8.5.5	68	13	46	50	112	71	68	108	27	112	93
EC:1.8.99.5	0	0	1	1	0	0	0	1	1	0	0
EC:1.11.1.5	39	24	19	8	7	65	16	50	0	1	124
EC:1.14.14.5	18	4	0	0	2	1	4	0	0	0	0
EC:1.17.1.5	0	0	0	5	0	0	0	0	2	0	0
EC:2.3.1.5	0	0	0	0	0	0	0	0	0	2	0
EC:2.3.2.5	7	16	14	10	0	27	0	38	3	2	31
EC:2.3.3.5	4	3	0	0	1	0	4	1	0	0	0
EC:2.4.1.5	1	0	26	16	0	0	0	4	31	0	1
EC:2.7.1.5	857	650	581	408	171	342	202	206	235	219	497
EC:2.7.6.5	2234	1220	2020	1936	743	762	1383	1132	1169	1258	1016
EC:2.7.8.5	686	377	880	786	446	385	631	578	407	641	638
EC:2.8.3.5	29	3	72	96	2	4	1	2	3	15	11
EC:2.8.4.5	1053	646	813	640	385	485	653	629	373	542	658
EC:3.1.1.5	594	310	731	721	339	205	613	423	178	411	254
EC:3.1.3.5	418	550	426	297	50	478	64	87	93	128	475
EC:3.1.11.5	2295	1325	1052	1072	666	706	2618	2255	419	440	588
EC:3.1.13.5	200	47	241	240	306	120	113	101	104	375	189
EC:3.1.21.5	464	196	205	203	37	127	586	418	127	120	233
EC:3.1.26.5	1008	455	911	726	310	351	550	427	416	854	464
EC:3.4.11.5	2	2	1	2	0	0	0	5	1	4	1
EC:3.4.14.5	260	569	695	550	215	670	155	100	186	487	833
EC:3.4.15.5	105	425	359	254	17	484	27	24	22	36	396
EC:3.5.1.5	16	77	78	55	28	55	99	71	96	81	46
EC:3.5.2.5	277	55	76	98	0	1	22	31	40	87	36
EC:3.5.4.5	773	506	999	628	207	425	640	414	317	252	481
EC:3.7.1.5	0	1	0	0	0	0	0	0	0	0	0
EC:4.1.1.5	5	10	42	27	55	15	1	3	20	3	0
EC:4.2.2.5	4	3	15	5	0	40	0	0	4	3	80
EC:4.2.3.5	1054	544	1098	1027	439	560	752	651	473	692	735
EC:4.4.1.5	1080	698	1685	1200	810	1059	873	773	740	970	1086
